session_uid,procedure_slug,n_windows,n_valid,n_with_label
lenovo__211__centrifuge,centrifuge,1748,1748,0
lenovo__222__column_flushing,column_flushing,378,378,0
lenovo__223__pressure_testing,pressure_testing,701,701,0
lenovo__231__centrifuge,centrifuge,816,816,0
lenovo__232__column_flushing,column_flushing,373,373,0
lenovo__233__pressure_testing,pressure_testing,405,405,0
lenovo__241__centrifuge,centrifuge,897,897,0
lenovo__242__column_flushing,column_flushing,305,270,0
lenovo__243__pressure_testing,pressure_testing,320,320,0
lenovo__252__column_flushing,column_flushing,388,388,0
zahabi__311__centrifuge,centrifuge,1602,1602,0
zahabi__321__centrifuge,centrifuge,1441,1441,0
zahabi__331__centrifuge,centrifuge,2417,2417,0
zahabi__341__centrifuge,centrifuge,2132,2132,0
zahabi__351__centrifuge,centrifuge,934,934,0
zahabi__352__column_flushing,column_flushing,254,254,0
zahabi__353__pressure_testing,pressure_testing,721,721,0
zahabi__361__centrifuge,centrifuge,871,871,0
zahabi__362__column_flushing,column_flushing,200,200,0
loaner__312__column_flushing,column_flushing,398,398,0
loaner__332__column_flushing,column_flushing,344,344,0
loaner__333__pressure_testing,pressure_testing,463,463,0
loaner__342__column_flushing,column_flushing,240,240,0
