Procedure,Step ID,Step description,Operator raw,Operator,Duration (ms),Cogulator type (mapped),VACP channel,VACP weight,VACP descriptor,Notes,,,,,Note,
Centrifuge task,0,Take a sample from the oil outlet,Grasp the procedure,grasp,,Motor,P,0,Manipulation (P4),,,,,,"From the original article of VACP, find what ""manipulation"" is reffering to and whether all these grasp, flip, wipe and move operators (highlighted in yellow) can be in that category. ",
Centrifuge task,0,Take a sample from the oil outlet,Look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,move - 0,flip
Centrifuge task,0,Take a sample from the oil outlet,Read procedure (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,0,Take a sample from the oil outlet,Walk to sample table (18169 milliseconds),walk,18169,Motor,P,0,Manipulation (P4) [assumption for locomotion],,,,,,Walking is not a psychomotor task. Need to be removed from mental workload calculation,
Centrifuge task,0,Take a sample from the oil outlet,Look at procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,0,Take a sample from the oil outlet,Read procedure (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,0,Take a sample from the oil outlet,Flip to page 2 (3000 milliseconds),flip,3000,Motor,P,0,Manipulation (P4) [page flip],,,,,,,
Centrifuge task,0,Take a sample from the oil outlet,Look at page 2 of procedure,look,,Perceptual,V,4,Visually inspect/check (V3),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Read procedure (9746 milliseconds),read,9746,Perceptual,V,5.9,Visually read (V6),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Flip back to page 1 (3000 milliseconds),flip,3000,Motor,P,0,Manipulation (P4) [page flip],,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Recall how to take sample <centrifuge containers> <container tray>,recall,,Cognitive,C,5.3,"Encoding/Decoding, recall (C5)",,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Grasp cylinder,grasp,,Motor,P,0,Manipulation (P4),,,,,,,
Centrifuge task,1,Take a sample from the oil outlet of the bulk oil treater.,Move cylinder closer to face to view (4392 milliseconds),move,4392,Motor,P,0,Manipulation (P4),,,,,,,
