session_uid,procedure_slug,procedure_id,participant_id,laptop_short,rtaps_session_id,decision_time_synced_t,decision_time_unix_t,window_start_synced_t,window_end_synced_t,pupil_n_samples,pupil_data_yield,pupil_diam_mean,pupil_diam_std,pupil_diam_median,pupil_diam_iqr,pupil_diam_slope,pupil_diam_range,pupil_eye_asymmetry,pupil_pcps_mean,pupil_pcps_std,pupil_diam_mean_z,pupil_diam_slope_z,fixation_count,fixation_rate_per_sec,fixation_dur_mean_ms,fixation_dur_std_ms,fixation_dur_median_ms,fixation_dispersion_mean,fixation_dispersion_std,fixation_time_in_fixation_ratio,fixation_saccade_amp_mean,blink_count,blink_rate_30s,blink_dur_mean_s,blink_dur_std_s,blink_inter_interval_mean_s,blink_inter_interval_cv,blink_long_count,gaze_n_samples,gaze_norm_x_mean,gaze_norm_y_mean,gaze_norm_x_std,gaze_norm_y_std,gaze_region_entropy,gaze_region_top1_ratio,gaze_transitions_per_sec,step_number,step_id,n_steps_remaining,step_threshold_s,time_in_step_so_far_s,is_over_threshold_now,progress_vs_threshold,step_sub_steps_shown_eventually,step_exceeded_threshold_eventually,cumulative_session_time_s,cumulative_blink_count_session,cumulative_long_blink_count_session,frac_window_in_current_step,valid,data_yield,workload_label
lenovo__241__centrifuge,centrifuge,1,P15,lenovo,sess_1764878417226_01bll6,64470.02972830205,1764877993.245,64460.02972830205,64470.02972830205,1126.0,0.9383333333333334,3.192089465260041,0.2032811724794182,3.180153246132565,0.26581866901815054,-0.005955741642022305,2.0820933166388778,0.21584169248690044,-0.09320884282329656,0.05442424255188044,-0.09265295576634272,-0.0016929113779296974,77.0,2.566666666666667,118.46353246810749,43.97382645051596,102.96350000135136,1.2929946226040605,0.23391659188158348,0.3040564000014759,0.12570956138222056,21.0,21.0,0.3235241904767463,0.20257150359910714,1.3253991499997937,0.5203968482079206,5.0,1126.0,0.4825480032109131,0.5701293632055794,0.09787767353179441,0.28604961623982605,1.7881802228039951,0.4733570159857904,3.9,5.0,12.0,3.0,298.0,98.0,0.0,0.3288590604026846,0.0,1.0,485.0,193.0,32.0,1.0,True,0.9383333333333334,
zahabi__351__centrifuge,centrifuge,1,P16,zahabi,sess_1764880218897_kymvek,24187.247674,1764880161.3078015,24177.247674,24187.247674,,,,,,,,,,,,,,119.0,3.966666666666667,134.81347058808475,52.11832174025459,111.94249999971362,1.0749268262258376,0.4344658743609946,0.5347600999994029,0.06514011929412802,7.0,7.0,0.6223722857144561,0.5207600819991149,2.2853351666666035,0.6067995203556102,3.0,0.0,0.5311311565904219,0.7567629629553142,0.08987387084263211,0.19745399741070857,1.408106721687903,0.6722689075630253,1.2,5.0,12.0,3.0,298.0,344.41080141067505,1.0,1.1557409443311244,0.0,1.0,900.410801410675,161.0,40.0,1.0,True,,
zahabi__321__centrifuge,centrifuge,1,P11,zahabi,sess_1764862036407_ac5ipm,5429.630135,1764861403.6839075,5419.630135,5429.630135,,,,,,,,,,,,,,79.0,2.6333333333333333,131.73175316455567,49.38310692442068,111.93699999967066,0.9242443109304831,0.4537850719064356,0.34689361666666324,0.18686680705391767,2.0,2.0,0.4366134999995665,0.25320650000003303,19.227310999999645,0.0,1.0,0.0,0.8975968618010188,0.1017940911627335,0.4796159885764315,0.41860996921833615,1.8008756061350146,0.3924050632911392,1.3,3.0,6.0,5.0,559.0,639.2769074440002,1.0,1.1436080634060828,1.0,1.0,830.2769074440002,40.0,16.0,1.0,True,,
zahabi__311__centrifuge,centrifuge,1,P8,zahabi,sess_1764860095668_e910ks,3096.660942,1764859070.7196178,3086.660942,3096.660942,774.0,0.645,5.317665490676795,1.3668195280356181,5.976586829151406,2.474631409699172,0.05078223433694608,6.12201324609909,2.521501463371712,0.025546289433996932,0.15447138662967774,0.07312532442031403,0.010248049974780914,66.0,2.2,144.9772196969496,52.25944877851848,130.00250000004598,0.6196785828790139,0.43105369740507,0.3189498833332891,0.24383756215217883,1.0,1.0,0.1322279999999409,,,,0.0,0.0,0.6777094924464034,0.1137853492966974,0.4427459995298457,0.38017481669370684,1.2757513491147865,0.7424242424242424,1.4,3.0,6.0,5.0,559.0,202.05161786079407,0.0,0.36145191030553503,1.0,1.0,596.0516178607941,29.0,6.0,1.0,True,0.645,
zahabi__311__centrifuge,centrifuge,1,P8,zahabi,sess_1764860095668_e910ks,3532.660942,1764859506.7196178,3522.660942,3532.660942,2183.0,1.8191666666666666,5.378575577417271,0.7998163785283176,4.798361261004868,1.553185275028513,-0.01323576562368957,5.2655235066956605,1.5555692852972678,0.09152890375745937,0.04246350876294886,0.0854172139173955,-0.002671028349522108,137.0,4.566666666666666,186.1093102189795,49.29378634263168,216.26849999938713,0.8275117867579219,0.3372569311834074,0.8498991833333397,0.008797239046974027,1.0,1.0,0.2420510000001741,,,,0.0,0.0,0.5169403156163845,0.10938388847256904,0.03376559076356549,0.05400481721653642,-0.0,1.0,0.0,3.0,6.0,5.0,559.0,638.0516178607941,1.0,1.1414161321302219,1.0,1.0,1032.051617860794,34.0,7.0,1.0,True,1.8191666666666666,
zahabi__331__centrifuge,centrifuge,1,P12,zahabi,sess_1764873793901_qatgkd,17317.618229,1764873291.679381,17307.618229,17317.618229,1581.0,1.3175,1.5317011090412482,0.3678002869188974,1.59480068204379,0.6812633695309942,0.05479383046431682,2.23768354858053,0.6304653055601546,0.5572760151368721,0.24598262761395295,0.5810734170743681,0.05656003528066781,33.0,1.1,105.83442424247164,29.69845879664759,94.0485000028275,1.2945530008783919,0.19874085077690384,0.11641786666671881,0.1527862354843258,,,,,,,,0.0,0.2672226824320822,0.4763944763699204,0.2603427557293869,0.2738851359994536,1.6453977028898175,0.45454545454545453,0.9,3.0,6.0,5.0,559.0,1863.778380870819,1.0,3.334129482774274,1.0,1.0,1938.778380870819,0.0,0.0,1.0,True,1.3175,
zahabi__341__centrifuge,centrifuge,1,P13,zahabi,sess_1764876093374_cgg6ok,19756.307096,1764875730.3581052,19746.307096,19756.307096,2220.0,1.85,1.7086731061953004,0.2610292608955991,1.8023015065513994,0.5221022927541465,-0.009821395427642814,1.587419184806556,0.47465913764685497,0.16044362939100135,0.08307568265353978,0.17331308131996306,-0.006744164047697165,28.0,0.9333333333333333,113.1919642855012,46.31463017480725,95.62900000128138,1.3151375265787253,0.22684859548452388,0.10564583333313446,0.1992058479186517,2.0,2.0,0.357247500000085,0.08683450000171436,16.29913999999917,0.0,0.0,0.0,0.4386193337485346,0.5401104362217557,0.1833708690602472,0.3007242966172293,1.9870732466744592,0.5357142857142857,0.9,5.0,12.0,3.0,298.0,18.984105110168457,0.0,0.06370505070526328,0.0,1.0,1785.9841051101685,189.0,91.0,1.0,True,1.85,
zahabi__341__centrifuge,centrifuge,1,P13,zahabi,sess_1764876093374_cgg6ok,19808.307096,1764875782.3581052,19798.307096,19808.307096,2233.0,1.8608333333333333,2.096262510554276,0.08384817136676802,2.091980936286995,0.08373494358677824,0.0033362339626714648,1.9952056915134007,0.04457308693283002,0.44885249793021464,0.1640347518292292,0.4394632985069242,0.002290927934988489,86.0,2.8666666666666667,105.62477325575581,27.789033328512506,97.38125000149012,1.3745897360373212,0.14419981774992957,0.3027910166665,0.09935771108618667,12.0,12.0,0.2726212500001566,0.13533329671729594,2.3956379090910063,0.6891311138939766,1.0,0.0,0.38199321013089965,0.9336020069417184,0.12188127231232986,0.26232518689710815,1.312626439461059,0.5813953488372093,1.9,5.0,12.0,3.0,298.0,70.98410511016846,0.0,0.2382016950005653,0.0,1.0,1837.9841051101685,202.0,93.0,1.0,True,1.8608333333333333,
lenovo__231__centrifuge,centrifuge,1,P14,lenovo,sess_1764877390836_kqyf3k,63453.63376,1764876976.8543787,63443.63376,63453.63376,1307.0,1.0891666666666666,3.0064932994289983,0.2036945138534585,2.979763365858715,0.27192121533695923,0.018134239661069966,2.395346482021007,0.24551146251156686,0.029561445777540066,0.08260834228343401,0.027715985198937268,0.006198865629485928,87.0,2.9,127.90917241363786,46.8252965922888,112.13150000548922,1.247156637383607,0.2582302235015228,0.3709365999995498,0.1291517288698312,14.0,14.0,0.4716060000001952,0.41060398177125146,2.016107230769054,0.6624460879162534,4.0,0.0,0.3922214671764947,0.5705091329220334,0.14896942953018183,0.25897806300543424,2.2867397074845925,0.2413793103448276,2.2,4.0,11.0,4.0,68.0,204.01837873458862,1.0,3.0002702755086563,1.0,1.0,419.0183787345886,121.0,15.0,1.0,True,1.0891666666666666,
zahabi__321__centrifuge,centrifuge,1,P11,zahabi,sess_1764862036407_ac5ipm,4688.630135,1764860662.6839075,4678.630135,4688.630135,,,,,,,,,,,,,,75.0,2.5,140.6250533332301,48.948919577108875,122.94949999977688,1.0147046909659345,0.3228370682526126,0.3515626333330753,0.061145933414266565,0.0,0.0,,,,,0.0,0.0,0.4659599797594011,0.20751055232534915,0.12074281764860782,0.1892765885247705,1.0652770446260662,0.7466666666666667,0.5,1.0,1.0,7.0,43.0,89.27690744400024,1.0,2.076207149860471,1.0,1.0,89.27690744400024,2.0,1.0,1.0,True,,
