session_uid,procedure_slug,procedure_id,participant_id,laptop_short,rtaps_session_id,decision_time_synced_t,decision_time_unix_t,window_start_synced_t,window_end_synced_t,pupil_n_samples,pupil_data_yield,pupil_diam_mean,pupil_diam_std,pupil_diam_median,pupil_diam_iqr,pupil_diam_slope,pupil_diam_range,pupil_eye_asymmetry,pupil_pcps_mean,pupil_pcps_std,pupil_diam_mean_z,pupil_diam_slope_z,fixation_count,fixation_rate_per_sec,fixation_dur_mean_ms,fixation_dur_std_ms,fixation_dur_median_ms,fixation_dispersion_mean,fixation_dispersion_std,fixation_time_in_fixation_ratio,fixation_saccade_amp_mean,blink_count,blink_rate_30s,blink_dur_mean_s,blink_dur_std_s,blink_inter_interval_mean_s,blink_inter_interval_cv,blink_long_count,gaze_n_samples,gaze_norm_x_mean,gaze_norm_y_mean,gaze_norm_x_std,gaze_norm_y_std,gaze_region_entropy,gaze_region_top1_ratio,gaze_transitions_per_sec,step_number,step_id,n_steps_remaining,step_threshold_s,time_in_step_so_far_s,is_over_threshold_now,progress_vs_threshold,step_sub_steps_shown_eventually,step_exceeded_threshold_eventually,cumulative_session_time_s,cumulative_blink_count_session,cumulative_long_blink_count_session,frac_window_in_current_step,valid,data_yield,workload_label
lenovo__232__column_flushing,column_flushing,2,P14,lenovo,sess_1764872309516_ivesvw,58598.29869623953,1764872121.516,58588.29869623953,58598.29869623953,1146.0,0.955,3.2726761558557085,0.28107929560199124,3.341859043075649,0.17199126147346622,0.01465878566186744,2.5855259759496922,0.20661633797711731,0.13597094006837412,0.10235644378781403,0.1337063111887588,0.005078033092118486,99.0,3.3,132.30468686849392,52.1006983374695,111.83799999707844,1.085050400553323,0.35022580986909,0.4366054666660299,0.046306205556834144,6.0,6.0,0.8530355000002601,0.7256940769862614,4.400577400000475,0.39894469797216464,2.0,1146.0,0.4733370489196326,0.1405105267721777,0.0781878899616637,0.1933982989260862,0.6171332629024272,0.8909249563699826,1.9,6.0,25.0,8.0,46.0,50.0,1.0,1.0869565217391304,1.0,1.0,201.0,54.0,5.0,1.0,True,0.955,
zahabi__362__column_flushing,column_flushing,2,P17,zahabi,sess_1764877305136_arpc65,21194.810002,1764877168.870218,21184.810002,21194.810002,1789.0,1.4908333333333332,3.005847578815853,0.4762938881855094,2.8778152873046325,0.8365332474123135,-0.008398642079453168,2.7869777404914675,0.8024842389191349,-0.06117743918233635,0.12421301912821325,-0.05924576996298863,-0.0026285624455798296,107.0,3.566666666666667,141.9456682239551,52.85948793361669,125.21899999774178,1.2635037377414773,0.2063364092640218,0.5062728833321065,0.059906723299394046,7.0,7.0,0.47654014285685015,0.6215886021744502,4.59865549999995,0.7039212239828878,1.0,1788.0,0.4500467873439254,0.3542078495866416,0.1590688546297376,0.1922469309823381,1.3778252317147888,0.6996644295302014,9.1,7.0,26.0,7.0,75.0,36.71421813964844,0.0,0.48952290852864583,0.0,0.0,87.71421813964844,31.0,3.0,1.0,True,1.4908333333333332,
loaner__332__column_flushing,column_flushing,2,P12,loaner,sess_1764866295975_rj31nl,9516.379269,1764866192.3883903,9506.379269,9516.379269,995.0,0.8291666666666667,1.8070871857291322,0.15320415183922154,1.8453991903625817,0.30307140788879994,0.004718387142387322,0.5435651004039201,0.29617145998382766,-0.10130769928543346,0.049383881508026264,-0.09978797869924161,0.002350494685741562,115.0,3.8333333333333335,170.07616521741906,51.116214891846234,195.2705000003334,1.131483954336261,0.34520737795694717,0.6519586333334397,0.025279846657871457,4.0,4.0,0.5506002500001159,0.21829401812951008,9.025337666666625,1.0011897246524788,2.0,994.0,0.4699620960738561,0.6172522667832678,0.011431604563109144,0.024339979348466094,0.05318192102909864,0.993963782696177,0.6,10.0,32.0,4.0,35.0,1.4133903980255127,0.0,0.040382582800728935,0.0,1.0,266.4133903980255,19.0,10.0,0.14133903980255128,True,0.8291666666666667,
loaner__342__column_flushing,column_flushing,2,P13,loaner,sess_1764866684526_aagzlo,9889.595643,1764866565.604618,9879.595643,9889.595643,615.0,0.5125,1.9273096471580973,0.28805240108582203,2.0337441136657084,0.4404094048002458,-0.009706343767837603,1.6216022114884625,0.562133131520153,-0.0009406152871441773,0.08247680149504417,0.053936661952586194,-0.005307850539493458,109.0,3.6333333333333333,144.2832522935791,51.121192714990016,132.67799999994168,1.1488497931907087,0.29452164936988506,0.524229150000004,0.04069973749806523,4.0,4.0,0.5229079999999158,0.28816627755642255,4.117758000000322,0.5523487454819782,1.0,614.0,0.5185790692145016,0.7658897554327502,0.09962626555856653,0.10336217167174874,0.8473277927906756,0.8420195439739414,3.3,9.0,31.0,5.0,23.0,9.078618049621582,0.0,0.3947225238965905,0.0,1.0,152.07861804962158,18.0,8.0,0.9078618049621582,True,0.5125,
zahabi__362__column_flushing,column_flushing,2,P17,zahabi,sess_1764877305136_arpc65,21228.810002,1764877202.870218,21218.810002,21228.810002,1996.0,1.6633333333333333,2.9598735875592816,0.23842297289221578,2.9641671056246817,0.2768905581092924,0.008948223095766298,2.3591038750296196,0.22216737668768438,-0.07376230093997595,0.06560483651207508,-0.0736344658673041,0.00280056739669192,114.0,3.8,126.67303070223792,45.4025282969335,113.21725000016158,1.3420284989725788,0.19960332551883073,0.4813575166685041,0.10744086067507766,7.0,7.0,0.22943214285779895,0.0738144073359009,2.920282666666632,1.117375049640471,0.0,1997.0,0.5295353985639839,0.603721724032674,0.10704090798298883,0.22136847653985975,1.5692125953083356,0.5973960941412119,6.5,9.0,31.0,5.0,23.0,3.7142181396484375,0.0,0.161487745202106,0.0,1.0,121.71421813964844,38.0,3.0,0.37142181396484375,True,1.6633333333333333,
loaner__312__column_flushing,column_flushing,2,P8,loaner,sess_1764863113978_ooz1xs,6075.440574,1764862751.4497,6065.440574,6075.440574,,,,,,,,,,,,,,74.0,2.466666666666667,150.61051351346111,85.73144405426451,138.78375000012966,0.9921100598923537,0.37397392815582764,0.3715059333332041,0.10588446983597082,2.0,2.0,0.43340650000027375,0.21477649999997087,24.205566999999974,0.0,1.0,0.0,0.4077902322054497,0.5376005182319664,0.1020485461970062,0.2902989482218082,2.0837233928517853,0.36486486486486486,1.8,3.0,22.0,11.0,10.0,3.4717001914978027,0.0,0.3471700191497803,0.0,0.0,59.4717001914978,10.0,3.0,0.3471700191497803,True,,
lenovo__252__column_flushing,column_flushing,2,P18,lenovo,sess_1764879467319_itgey8,65625.10717357177,1764879148.319,65615.10717357177,65625.10717357177,1365.0,1.1375,2.567726774014128,0.27478618069938665,2.5297487123573066,0.4590172975303246,0.018705078691451577,1.830904726199425,0.463273984554208,-0.2501102654065437,0.04530716144779602,-0.2500945048441983,0.005462824721071375,134.0,4.466666666666667,122.00511567159504,42.995172323379414,109.10650000732858,1.3175575920216422,0.19874365694143759,0.5449561833331245,0.04941757873040279,1.0,1.0,0.1625979999953415,,,,0.0,1365.0,0.48052161512612945,0.8797665967860662,0.047600947216299025,0.16478343091149614,0.6613999946001845,0.8512820512820513,2.9,1.0,20.0,13.0,27.0,83.0,1.0,3.074074074074074,0.0,1.0,83.0,16.0,2.0,1.0,True,1.1375,
lenovo__232__column_flushing,column_flushing,2,P14,lenovo,sess_1764872309516_ivesvw,58648.29869623953,1764872171.516,58638.29869623953,58648.29869623953,1303.0,1.0858333333333334,2.659458515936574,0.20933143493737577,2.7035809623217633,0.285813030971108,-0.03201017267194553,1.1014866584618712,0.32714308654826585,-0.07761581564869344,0.08070050767130342,-0.07872188989208481,-0.011088825490873472,84.0,2.8,122.61982142843495,44.06107439639974,104.29950000252575,1.2945740314665162,0.19674867104341207,0.3433354999996178,0.07660940710018499,4.0,4.0,0.28681350000078965,0.13973028476103053,7.7657659999992275,0.609093172267876,1.0,1302.0,0.5287569539498952,0.4391395566432441,0.07683985600943065,0.2836261867544049,1.6035906214336628,0.4754224270353303,2.3,9.0,31.0,5.0,23.0,3.0,0.0,0.13043478260869565,0.0,1.0,251.0,58.0,6.0,0.3,True,1.0858333333333334,
loaner__312__column_flushing,column_flushing,2,P8,loaner,sess_1764863113978_ooz1xs,6176.440574,1764862852.4497,6166.440574,6176.440574,,,,,,,,,,,,,,58.0,1.9333333333333333,160.052129310347,73.47746372066078,155.13275000057547,0.6304609523466191,0.47050138424599086,0.30943411666667087,0.18894359368662192,2.0,2.0,0.13026400000035204,0.00586000000021155,1.059943000000203,0.0,0.0,0.0,0.3613630481082474,0.3403735295923694,0.15983036880762172,0.33912656800849406,2.0288479573033755,0.4827586206896552,1.4,7.0,26.0,7.0,75.0,51.4717001914978,0.0,0.6862893358866373,0.0,0.0,160.4717001914978,20.0,8.0,1.0,True,,
lenovo__232__column_flushing,column_flushing,2,P14,lenovo,sess_1764872309516_ivesvw,58721.29869623953,1764872244.516,58711.29869623953,58721.29869623953,1191.0,0.9925,2.9996974466864006,0.3472667885891779,2.9060373719154984,0.5515998424711959,-0.0039628215725790545,2.5765754483812087,0.562444566671676,0.03824969626643601,0.11114953715513905,0.03914220809176731,-0.0013727834998000692,94.0,3.1333333333333333,123.38530851032354,43.327780122186226,107.04249999980675,1.2226743701811882,0.25929809902740864,0.3866072999990138,0.07409229940185486,2.0,2.0,0.9893715000034717,0.5162894999994023,12.900220000003173,0.0,1.0,1192.0,0.4611481659592737,0.2852088490488705,0.07927554926920961,0.207075886278159,1.459056692090598,0.5964765100671141,5.4,12.0,34.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,324.0,73.0,9.0,0.0,True,0.9925,
