session_uid,procedure_slug,pupil_source,pupil_n_rows,pupil_n_eye0,pupil_n_eye1,pupil_rate_hz_eye0,pupil_rate_hz_eye1,pupil_baseline_mm_eye0,pupil_baseline_mm_eye1,pupil_baseline_mm_mean,baseline_strategy,baseline_window_start_synced_t,baseline_window_end_synced_t,baseline_window_n_blinks,baseline_window_n_fixations,baseline_window_n_pupil,fixations_n,blinks_n,blinks_n_tracking_loss,gaze_n,notes
lenovo__211__centrifuge,centrifuge,,0,0,0,0.0,0.0,,,,,,,0,0,0,4776,0,0,0,no usable pupil source
lenovo__222__column_flushing,column_flushing,,0,0,0,0.0,0.0,,,,,,,0,0,0,1867,55,8,0,no usable pupil source
lenovo__223__pressure_testing,pressure_testing,offline,87593,45842,41751,60.38,54.99,3.400007479993837,3.1601790014420237,3.2800932407179304,quietest_window,48708.034905,48828.034905,4,217,10299,2271,61,11,87592,
lenovo__231__centrifuge,centrifuge,streaming,103362,50172,53190,59.21,62.77,2.978255819362948,2.8725693944669692,2.925412606914959,quietest_window,63408.63376,63528.63376,48,344,14085,2938,306,6,0,
lenovo__232__column_flushing,column_flushing,offline,56592,27362,29230,64.11,68.48,2.919040314493224,2.85437053019743,2.886705422345327,quietest_window,58615.834264,58735.834264,20,364,15098,1533,104,6,56589,
lenovo__233__pressure_testing,pressure_testing,offline,37571,15465,22106,34.08,48.72,2.0290810252529368,2.652373505786794,2.3407272655198654,quietest_window,59648.567125,59768.567125,16,154,4653,1137,89,10,37570,
lenovo__241__centrifuge,centrifuge,offline,118950,59511,59439,62.64,62.57,3.4915135218749564,3.5445802981166445,3.5180469099958005,quietest_window,64346.253698,64466.253698,53,307,14295,3195,473,12,118950,
lenovo__242__column_flushing,column_flushing,offline,38311,16140,22171,45.75,62.8,2.877160495057782,3.229649081240824,3.0534047881493027,quietest_window,58935.546732,59055.546732,0,0,14493,0,0,0,0,
lenovo__243__pressure_testing,pressure_testing,offline,32697,13467,19230,36.56,52.21,2.280880559421691,2.7543608158244166,2.5176206876230536,quietest_window,60090.654003,60210.654003,15,205,6273,933,95,12,32697,
lenovo__252__column_flushing,column_flushing,offline,60720,30690,30030,69.08,67.59,3.6640841718504342,3.1840501346748233,3.424067153262629,quietest_window,65817.1702,65937.1702,3,333,16116,1527,35,8,60721,
zahabi__311__centrifuge,centrifuge,offline,238630,127061,111569,77.5,68.05,4.184440442414942,5.7261736669842875,4.955307054699615,quietest_window,2996.660942,3116.660942,1,257,9772,5179,114,57,0,
zahabi__321__centrifuge,centrifuge,,0,0,0,0.0,0.0,,,,,,,0,0,0,3873,146,68,0,no usable pupil source
zahabi__331__centrifuge,centrifuge,offline,302875,158421,144454,64.44,58.75,1.0806291377567963,0.8569166997736599,0.9687729187652281,quietest_window,15910.618229,16030.618229,0,80,2675,4202,0,0,0,
zahabi__341__centrifuge,centrifuge,offline,232851,145703,87148,67.27,40.23,1.6258765327020541,1.2866847152694825,1.4562806239857684,quietest_window,19244.307096,19364.307096,6,87,7921,2912,383,149,0,
zahabi__351__centrifuge,centrifuge,,0,0,0,0.0,0.0,,,,,,,0,0,0,3428,231,50,0,no usable pupil source
zahabi__352__column_flushing,column_flushing,,0,0,0,0.0,0.0,,,,,,,0,0,0,1077,79,10,0,no usable pupil source
zahabi__353__pressure_testing,pressure_testing,offline,100590,48721,51869,64.16,68.31,3.5232582847946063,2.976406442204964,3.2498323634997854,quietest_window,22301.670038,22421.670038,0,264,9307,2221,0,0,100588,
zahabi__361__centrifuge,centrifuge,,0,0,0,0.0,0.0,,,,,,,0,0,0,2939,240,48,0,no usable pupil source
zahabi__362__column_flushing,column_flushing,offline,46220,23252,22968,97.64,96.45,3.0920907580119428,3.298202227856633,3.195146492934288,quietest_window,21154.810002,21274.810002,25,457,23337,938,74,11,46219,
loaner__312__column_flushing,column_flushing,,0,0,0,0.0,0.0,,,,,,,0,0,0,1003,76,25,0,no usable pupil source
loaner__332__column_flushing,column_flushing,offline,26992,14558,12434,38.05,32.53,2.0708605075235083,1.9439429898081257,2.007401748665817,quietest_window,9479.379269,9599.379269,8,367,6642,1303,47,22,26986,
loaner__333__pressure_testing,pressure_testing,offline,28523,12005,16518,23.89,32.87,1.9988718776670578,1.8120112391519212,1.9054415584094895,quietest_window,10542.349984,10662.349984,11,251,5267,1439,66,19,28520,
loaner__342__column_flushing,column_flushing,offline,18983,11427,7556,40.72,26.94,2.043023297998709,1.614330538782048,1.8286769183903786,quietest_window,9761.595643,9881.595643,9,406,7639,1015,35,9,18980,
loaner__S001T001__unknown,,,0,0,0,0.0,0.0,,,,,,,0,0,0,0,0,0,0,skipped: no procedure_slug (UNMATCHED row)
