participant_id,n_windows,balanced_accuracy,macro_f1,cohen_kappa
P10,15881460,0.6208877646052002,0.4659896247956721,0.16321011323298074
P17,13698383,0.6116091155861372,0.5893654235672584,0.22808693019030535
P16,26908983,0.606670998852311,0.5827288528150145,0.19882545237205662
P15,11345980,0.5991923316409618,0.6120319094521868,0.23244720218031056
P11,8333303,0.572036272670419,0.5758760960352372,0.1658622139537027
P18,5347045,0.5669095816464237,0.3227508864517193,0.04789690283439918
P8,12672110,0.5588224935491657,0.5256391108105188,0.13038456858013403
P14,13161165,0.5512459037669122,0.5154062159214831,0.10592781992706546
P12,32167945,0.5412557197938848,0.5061426340447683,0.11241111136377657
P9,1526878,0.5,0.2282560706401766,0.0
P13,24931838,0.4514219605775708,0.43027949805820287,-0.07249347663608607
