participant_id,n_windows,accuracy,balanced_accuracy,macro_f1,cohen_kappa
P10,1061,0.589066918001885,0.6419324255162056,0.5834689967152654,0.22633494333765947
P8,1996,0.6002004008016032,0.5697523977629511,0.5678645649637809,0.1446440097993833
P14,1573,0.5308328035600763,0.522699620388696,0.517128210759601,0.04599603564631127
P16,1907,0.49134766649187206,0.5134609626978403,0.49060121388365663,0.02502440351073243
P15,1454,0.48211829436038517,0.5020715585784079,0.44085234036620363,0.0025217969625465075
P13,2367,0.4710604140261935,0.49291948569252847,0.4458357892343274,-0.009885928449187231
P17,1069,0.4976613657623948,0.4898066900939194,0.4766897758816371,-0.02067112709738339
P12,3222,0.49844816883923027,0.4603700250609833,0.45286444935387227,-0.06819324160699036
P18,382,0.48429319371727747,0.45821862348178133,0.40817112972356573,-0.04290584550569565
P9,1748,0.5692219679633868,0.45574983462360963,0.4510579147487491,-0.09359286670942724
P11,1441,0.5343511450381679,0.4484565353345841,0.448694505880468,-0.09318106531086157
