"sessionId","completedAt","metadata","participantId","participantUsername","procedureId","procedureName","steps","totalTimeSec","trainNumber"
"sess_1764864325424_5lb9an","2025-12-04T16:05:25.424Z","{""createdAt"":{""S"":""2025-12-04T16:05:25.424Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-04T16:05:25.480Z""}}","P8","user_31","3","Pressure Testing - Train 1","[{""M"":{""stepId"":{""N"":""41""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""36""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""42""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""5""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""43""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""3""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""44""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""21""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""45""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""28""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""50""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""96""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""51""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""112""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""52""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""83""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""53""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""2""},""stepNumber"":{""N"":""9""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""54""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""36""},""stepNumber"":{""N"":""10""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""55""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""2""},""stepNumber"":{""N"":""11""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""56""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""5""},""stepNumber"":{""N"":""12""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""57""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""16""},""stepNumber"":{""N"":""13""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""58""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""31""},""stepNumber"":{""N"":""14""},""exceededThreshold"":{""BOOL"":true}}}]","483","1"
"sess_1764862523271_0nsmez","2025-12-04T15:35:23.295Z","{""createdAt"":{""S"":""2025-12-04T15:35:23.295Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-04T15:35:20.748Z""}}","P10","user12","3","Pressure Testing - Train 2","[{""M"":{""stepId"":{""N"":""41""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""121""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""42""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""22""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""43""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""62""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""44""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""31""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""45""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""3""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""50""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""203""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""51""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""53""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""52""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""88""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""53""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""55""},""stepNumber"":{""N"":""9""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""54""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""13""},""stepNumber"":{""N"":""10""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""55""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""19""},""stepNumber"":{""N"":""11""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""56""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""12""},""stepNumber"":{""N"":""12""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""57""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""20""},""stepNumber"":{""N"":""13""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""58""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""8""},""stepNumber"":{""N"":""14""},""exceededThreshold"":{""BOOL"":false}}}]","718","2"
"sess_1764873793901_qatgkd","2025-12-04T18:43:13.901Z","{""createdAt"":{""S"":""2025-12-04T18:43:13.901Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-04T18:43:12.499Z""}}","P12","user_33","1","Centrifuge - Train 1","[{""M"":{""stepId"":{""N"":""1""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""69""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""2""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""6""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""6""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""1909""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""11""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""31""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""12""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""375""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""13""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""37""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""14""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""7""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""15""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""4""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":false}}}]","2441","1"
"sess_1764727535022_qlp8jh","2025-12-03T02:05:35.022Z","{""createdAt"":{""S"":""2025-12-03T02:05:35.022Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-03T02:05:33.156Z""}}","P6","test_user","1","Centrifuge - Train 1","[{""M"":{""stepId"":{""N"":""1""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""2""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""2""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""6""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""2""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""11""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""75""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""12""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""2""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""13""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""14""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""15""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""0""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":false}}}]","86","1"
"sess_1764881214955_9vqqte","2025-12-04T20:46:54.956Z","{""createdAt"":{""S"":""2025-12-04T20:46:54.956Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-04T20:46:53.392Z""}}","P17","user_36","1","Centrifuge - Train 1","[{""M"":{""stepId"":{""N"":""1""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""46""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""2""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""2""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""6""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""445""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""11""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""5""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""12""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""380""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""13""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""5""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""14""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""2""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""15""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":false}}}]","890","1"
"sess_1764629710377_mcxxuf","2025-12-01T22:55:10.377Z","{""createdAt"":{""S"":""2025-12-01T22:55:10.377Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-01T22:55:08.976Z""}}","P6","test_user","1","Centrifuge - Train 2","[{""M"":{""stepId"":{""N"":""1""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""5""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""0""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""6""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""0""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""11""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""12""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""13""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""14""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""15""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":false}}}]","9","2"
"sess_1764877021264_l8822p","2025-12-04T19:37:01.264Z","{""createdAt"":{""S"":""2025-12-04T19:37:01.264Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-04T19:36:59.305Z""}}","P16","user_35","2","Column Flushing - Train 1","[{""M"":{""stepId"":{""N"":""20""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""34""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""21""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""22""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""12""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""23""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""8""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""24""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""21""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""25""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""8""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""26""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""37""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""27""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""32""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""31""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""25""},""stepNumber"":{""N"":""9""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""32""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""27""},""stepNumber"":{""N"":""10""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""33""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""12""},""stepNumber"":{""N"":""11""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""34""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""23""},""stepNumber"":{""N"":""12""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""35""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""23""},""stepNumber"":{""N"":""13""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""36""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""2""},""stepNumber"":{""N"":""14""},""exceededThreshold"":{""BOOL"":false}}}]","272","1"
"sess_1764879467319_itgey8","2025-12-04T20:17:47.319Z","{""createdAt"":{""S"":""2025-12-04T20:17:47.319Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-04T20:17:44.499Z""}}","P18","user15","2","Column Flushing - Train 2","[{""M"":{""stepId"":{""N"":""20""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""108""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""21""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""13""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""22""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""17""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""23""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""4""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""24""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""128""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""25""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""0""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""26""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""27""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""5""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""31""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""57""},""stepNumber"":{""N"":""9""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""32""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""10""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""33""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""6""},""stepNumber"":{""N"":""11""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""34""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""0""},""stepNumber"":{""N"":""12""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""35""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""52""},""stepNumber"":{""N"":""13""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""36""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""5""},""stepNumber"":{""N"":""14""},""exceededThreshold"":{""BOOL"":false}}}]","402","2"
"sess_1764694719874_ikhazb","2025-12-02T16:58:39.874Z","{""createdAt"":{""S"":""2025-12-02T16:58:39.874Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-02T16:58:38.150Z""}}","P6","test_user","1","Centrifuge - Train 1","[{""M"":{""stepId"":{""N"":""1""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""72""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""5""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""131""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""6""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""2""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""11""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""87""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""12""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""573""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""13""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""71""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""14""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""65""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""15""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""12""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":true}}}]","1016","1"
"sess_1764867417886_ovrslu","2025-12-04T16:56:57.886Z","{""createdAt"":{""S"":""2025-12-04T16:56:57.886Z""},""version"":{""S"":""1.0""},""completedAt"":{""S"":""2025-12-04T16:56:58.009Z""}}","P12","user_33","3","Pressure Testing - Train 1","[{""M"":{""stepId"":{""N"":""41""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""28""},""stepNumber"":{""N"":""1""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""42""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""15""},""stepNumber"":{""N"":""2""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""43""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""13""},""stepNumber"":{""N"":""3""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""44""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""26""},""stepNumber"":{""N"":""4""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""45""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""19""},""stepNumber"":{""N"":""5""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""50""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""129""},""stepNumber"":{""N"":""6""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""51""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""67""},""stepNumber"":{""N"":""7""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""52""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""88""},""stepNumber"":{""N"":""8""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""53""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""27""},""stepNumber"":{""N"":""9""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""54""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""11""},""stepNumber"":{""N"":""10""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""55""},""subStepsShown"":{""BOOL"":true},""timeSpentSec"":{""N"":""36""},""stepNumber"":{""N"":""11""},""exceededThreshold"":{""BOOL"":true}}},{""M"":{""stepId"":{""N"":""56""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""19""},""stepNumber"":{""N"":""12""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""57""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""1""},""stepNumber"":{""N"":""13""},""exceededThreshold"":{""BOOL"":false}}},{""M"":{""stepId"":{""N"":""58""},""subStepsShown"":{""BOOL"":false},""timeSpentSec"":{""N"":""5""},""stepNumber"":{""N"":""14""},""exceededThreshold"":{""BOOL"":false}}}]","491","1"
